player_login_name,player_phone_number,player_email,player_password,player_role,player_rank
john,415263563,email1@gmail.com,123a,admin,11
jane,412365489,email2@gmail.com,124b,user,10
nick,478523215,email3@gmail.com,125a,user,3
mike,459867521,email4@gmail.com,126b,user,2.8
robert,413125654,email5@gmail.com,127a,user,4
bill,415192356,email6@gmail.com,128b,user,4.36
sarah,417892364,email7@gmail.com,129a,user,6
fiona,422635599,email8@gmail.com,130b,user,7
james,477829345,email9@gmail.com,131a,user,12
jojo,415698798,email10@gmail.com,132b,user,11.65
meredith,477326596,email11@gmail.com,133a,user,9.35
momo,418963321,email12@gmail.com,134b,user,8.65
marynich,414018424,email13@gmail.com,135a,user,5.21
jasonf,414018424,email14@gmail.com,136b,1500
svetas,414018424,email15@gmail.com,137a,1500
